date,BTC_headline,BTC_desc,text_compound,text_pos,text_neu,text_neg,title_compound,title_pos,title_neu,title_neg
2022-01-07,"B. Riley Comments on Marathon Digital Holdings, Inc.'s FY2021 Earnings (NASDAQ:MARA)","B. Riley Comments on Marathon Digital Holdings, Inc.'s FY2021 Earnings (NASDAQ:MARA) MARA 3 Stocks to Watch that Offer Exposure to CryptocurrenciesMarathon Digital Holdings, Inc. (NASDAQ:MARA) - Equities researchers at B. Riley decreased their FY202...",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2022-01-10,"FY2022 Earnings Estimate for Marathon Digital Holdings, Inc. (NASDAQ:MARA) Issued By DA Davidson","FY2022 Earnings Estimate for Marathon Digital Holdings, Inc. (NASDAQ:MARA) Issued By DA Davidson MARA 3 Stocks to Watch that Offer Exposure to CryptocurrenciesMarathon Digital Holdings, Inc. (NASDAQ:MARA) - Research analysts at DA Davidson upped the...",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2022-01-18,Marathon Digital (NASDAQ:MARA) Coverage Initiated by Analysts at BTIG Research,"Marathon Digital (NASDAQ:MARA) Coverage Initiated by Analysts at BTIG Research MARA Equities research analysts at BTIG Research initiated coverage on shares of Marathon Digital (NASDAQ:MARA) in a research note issued on Tuesday, The Fly reports. The ...",0.296,0.059,0.941,0.0,0.0,0.0,1.0,0.0
2022-01-18,"Marathon Digital Holdings, Inc. (NASDAQ:MARA) Receives Consensus Rating of ""Buy"" from Brokerages","Marathon Digital Holdings, Inc. (NASDAQ:MARA) Receives Consensus Rating of ""Buy"" from Brokerages MARA Shares of Marathon Digital Holdings, Inc. (NASDAQ:MARA) have been given a consensus recommendation of ""Buy"" by the six brokerages that are currently...",0.296,0.062,0.937,0.0,0.0,0.0,1.0,0.0
2022-01-21,"FY2022 EPS Estimates for Marathon Digital Holdings, Inc. Decreased by DA Davidson (NASDAQ:MARA)","FY2022 EPS Estimates for Marathon Digital Holdings, Inc. Decreased by DA Davidson (NASDAQ:MARA) MARA 3 Stocks to Watch that Offer Exposure to CryptocurrenciesMarathon Digital Holdings, Inc. (NASDAQ:MARA) - Research analysts at DA Davidson cut their ...",-0.2732,0.0,0.94,0.06,0.0,0.0,1.0,0.0
2022-01-28,Marathon Digital (NASDAQ:MARA) Earns Buy Rating from Analysts at Jefferies Financial Group,"Marathon Digital (NASDAQ:MARA) Earns Buy Rating from Analysts at Jefferies Financial Group MARA Equities researchers at Jefferies Financial Group started coverage on shares of Marathon Digital (NASDAQ:MARA) in a report issued on Friday, The Fly repor...",0.296,0.061,0.939,0.0,0.0,0.0,1.0,0.0
2022-01-28,"$60.50 Million in Sales Expected for Marathon Digital Holdings, Inc. (NASDAQ:MARA) This Quarter","$60.50 Million in Sales Expected for Marathon Digital Holdings, Inc. (NASDAQ:MARA) This Quarter MARA Wall Street brokerages expect Marathon Digital Holdings, Inc. (NASDAQ:MARA) to report sales of $60.50 million for the current quarter, according to Z...",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2022-02-09,"B. Riley Analysts Cut Earnings Estimates for Marathon Digital Holdings, Inc. (NASDAQ:MARA)","B. Riley Analysts Cut Earnings Estimates for Marathon Digital Holdings, Inc. (NASDAQ:MARA) MARA 3 Stocks to Watch that Offer Exposure to CryptocurrenciesMarathon Digital Holdings, Inc. (NASDAQ:MARA) - Research analysts at B. Riley decreased their Q1...",-0.2732,0.0,0.938,0.062,-0.2732,0.0,0.84,0.16
2022-02-16,"Marathon Digital Holdings, Inc. (NASDAQ:MARA) Expected to Announce Quarterly Sales of $60.23 Million","Marathon Digital Holdings, Inc. (NASDAQ:MARA) Expected to Announce Quarterly Sales of $60.23 Million MARA Analysts predict that Marathon Digital Holdings, Inc. (NASDAQ:MARA) will announce sales of $60.23 million for the current fiscal quarter, accord...",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2022-02-21,"Marathon Digital Holdings, Inc. Expected to Earn Q4 2021 Earnings of $0.39 Per Share (NASDAQ:MARA)","Marathon Digital Holdings, Inc. Expected to Earn Q4 2021 Earnings of $0.39 Per Share (NASDAQ:MARA) MARA 3 Stocks to Watch that Offer Exposure to CryptocurrenciesMarathon Digital Holdings, Inc. (NASDAQ:MARA) - Investment analysts at DA Davidson issue...",0.296,0.062,0.937,0.0,0.296,0.136,0.864,0.0
2022-02-24,Canaan (CAN) Scheduled to Post Earnings on Thursday,"Canaan (CAN) Scheduled to Post Earnings on Thursday CAN Canaan (NASDAQ:CAN - Get Rating) is scheduled to announce its earnings results before the market opens on Thursday, March 3rd. Investors that wish to listen to the company's conference call can...",0.4019,0.066,0.934,0.0,0.0,0.0,1.0,0.0
2022-02-28,"Russian Sanctions Roil Markets, Gold Rises ","Russian Sanctions Roil Markets, Gold Rises  GLD Russia Cut Off From Global Economy, Dollar Steadies  World leaders have moved to cut Russia off from the global economy and monetary system due to the incursion into Ukraine. The moves include a...",-0.4939,0.0,0.9,0.1,0.0,0.0,1.0,0.0
2022-03-07,"B. Riley Weighs in on Marathon Digital Holdings, Inc.'s FY2022 Earnings (NASDAQ:MARA)","B. Riley Weighs in on Marathon Digital Holdings, Inc.'s FY2022 Earnings (NASDAQ:MARA) MARA 3 Stocks to Watch that Offer Exposure to CryptocurrenciesMarathon Digital Holdings, Inc. (NASDAQ:MARA - Get Rating) - B. Riley lowered their FY2022 EPS estima...",-0.128,0.0,0.957,0.043,0.0,0.0,1.0,0.0
2022-03-08,Marathon Digital (NASDAQ:MARA) Price Target Raised to $66.00,"Marathon Digital (NASDAQ:MARA) Price Target Raised to $66.00 MARA Marathon Digital (NASDAQ:MARA - Get Rating) had its price target upped by research analysts at Compass Point from $48.00 to $66.00 in a research note issued to investors on Tuesday, B...",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2022-03-08,Canaan Inc. (NASDAQ:CAN) Short Interest Update,"Canaan Inc. (NASDAQ:CAN) Short Interest Update CAN Canaan Inc. (NASDAQ:CAN - Get Rating) was the target of a large drop in short interest during the month of February. As of February 15th, there was short interest totalling 5,360,000 shares, a drop ...",0.7906,0.231,0.682,0.087,0.4588,0.375,0.625,0.0
2022-03-09,"Analysts Expect Marathon Digital Holdings, Inc. (NASDAQ:MARA) Will Post Quarterly Sales of $87.50 Million","Analysts Expect Marathon Digital Holdings, Inc. (NASDAQ:MARA) Will Post Quarterly Sales of $87.50 Million MARA Analysts forecast that Marathon Digital Holdings, Inc. (NASDAQ:MARA - Get Rating) will report $87.50 million in sales for the current quar...",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
